keys,cs,en
npc_honza_greet_01,"„Tak ty jsi ten novej, co mi ho poslal pražskej Pepa, jo? Nevypadáš na profíka.“","„So, you must be the new guy Pražskej Pepa sent me, eh? You don't look like a pro.“"
npc_honza_choice_a,"„Pepa říkal, že potřebuješ vyřešit problém. Neřeš můj vzhled.“","„Pepa said you need a problem solved. Don't worry about my looks.“"
npc_honza_choice_b,"„Hleď si svýho a naval práci. Nemám čas na kecy.“","„Mind your own business and give me the job. I don't have time for talk.“"
npc_honza_choice_c,"(Mlčky si sedneš a položíš na stůl nůž)","(You sit in silence and place a knife on the table)"
npc_honza_choice_d,"„Honzo… ty tu sklenici čistíš už potřetí. Máš nějakou, co je aspoň špinavá?“","„Honza… you've been cleaning that glass three times now. Got one that's actually dirty?“"
npc_honza_res_a,"„Ha! Drzej. To se mi líbí. Dobře. Mám tu jednu fušku v MelTechu.“","„Ha! Bold. I like that. Fine. I've got a job at MelTech.“"
npc_honza_res_b,"(zamračí se) „Klid, kovboji. Tady nejsme v akčňáku. Ale… práci mám.“","(frowns) „Take it easy, cowboy. This isn't an action movie. But... I have work.“"
npc_honza_res_c,"„Rozumím. Míň keců, víc práce. Tady máš adresu.“","„I see. Less talk, more work. Here's the address.“"
npc_honza_res_d,"(na vteřinu ztuhne) „Hele… v Mělníku se některý věci… neopírají o logiku. Spíš o zvyk.“","(freezes for a second) „Look... in Melnik, some things... don't rely on logic. More on habit.“"
npc_josef_greet_01,"„Já… měl jsem sen. Že jsme to posrali. A pak jsme to udělali znova. A pak líp.“","„I... I had a dream. That we blew it. And then we did it again. And better.“"
npc_josef_choice_a,"„To nebyl sen.“","„That wasn't a dream.“"
npc_josef_res_a,"„Neříkej mi to takhle. Mám děti. Potřebuju věřit na sny, ne na… účetnictví času.“","„Don't tell me that. I have kids. I need to believe in dreams, not... time accounting.“"
npc_petra_greet_01,"„To není firewall. To je… kalendář. Když do něj sáhneš, Mělník si to zapíše a večer to smaže.“","„That's not a firewall. It's... a calendar. When you touch it, Melnik logs it and deletes it at night.“"
npc_petra_choice_a,"„Takže město jede na free trial.“","„So the city's running on a free trial.“"
npc_petra_res_a,"„Přesně. A my jsme klikli na ‚Obnovit předplatné‘.“","„Exactly. And we just clicked 'Renew Subscription'.“"
radio_josef_01,"„Motor běží, čekám venku.“","„Engine's running, waiting outside.“"
radio_josef_02,"„Pohni sebou, vidím majáky!“","„Hurry up, I see sirens!“"
radio_josef_loop,"„Hele… já vím, že to zní blbě. Ale… už jsme tady byli, co?“","„Look... I know it sounds stupid. But... we've been here before, haven't we?“"
radio_petra_01,"„Jsem v systému. Kamery jsou vypnuté na 10 sekund.“","„I'm in the system. Cameras are down for 10 seconds.“"
radio_petra_02,"„Sakra! Ten firewall je silnější, než jsem myslela.“","„Damn! That firewall is stronger than I thought.“"
radio_petra_loop,"„Zase 03:33… to město má alarm i na realitu.“","„03:33 again... this city has an alarm even for reality.“"
lore_diary_meltech,"„Šéf zase bláznil s bezpečností. Kdo by kradl naše výkazy DPH? Je paranoidní.“","„Boss went crazy with security again. Who'd steal our VAT reports? He's paranoid.“"
lore_email_security,"„Upozorňujeme, že heslo k zadnímu vchodu bylo změněno na 1234.“","„Please note the back entrance password has been changed to 1234.“"
lore_protocol_kronos,"„Událost: Rozsvícení lampy. Optimalizace: použít záznam z předchozího dne.“","„Event: Lamp ignition. Optimization: use record from previous day.“"
lore_receipt_pub,"„U Černého Orla — Účtenka č. 000033. Poznámka: Děkujeme, že se vracíte.“","„The Black Eagle — Receipt no. 000033. Note: Thank you for returning.“"
ui_btn_newgame,"NOVÁ HRA","NEW GAME"
item_lockpick_desc,"Sada paklíčů pro staré zámky.","Lockpick set for old locks."
loc_pub_name,"U Černého Orla","The Black Eagle Pub"
sys_alert_fail,"MISE SELHALA: Byl jsi zatčen.","MISSION FAILED: You were arrested."
sys_loop_reset_01,"03:33 — Mělník se účtuje znovu.","03:33 — Melnik is being billed again."
npc_petra_loop_01,"„To není firewall. To je kalendář.“","„That’s not a firewall. It’s a calendar.“"
npc_josef_loop_01,"„Už jsme tady byli, co?“","„We’ve been here before, haven’t we?“"
npc_honza_loop_01,"„V Mělníku se některý věci neopírají o logiku. Spíš o zvyk.“","„In Melnik, some things don’t rely on logic. More on habit.“"
bark_guard_idle_01,"„Zase ta noční...“","„Another night shift...“"
bark_guard_idle_02,"„Měl jsem si vzít kafe.“","„Should've grabbed a coffee.“"
bark_guard_idle_03,"„Ticho jako v hrobě.“","„Quiet as a grave.“"
bark_guard_susp_01,"„Co to bylo?“","„What was that?“"
bark_guard_susp_02,"„Je tam někdo?“","„Is someone there?“"
bark_guard_susp_03,"„Asi jen krysy.“","„Probably just rats.“"
bark_guard_alert_01,"„MÁME TU NARUŠENÍ!“","„WE HAVE AN INTRUSION!“"
bark_guard_alert_02,"„STŮJ A ANI HNU!“","„FREEZE! DON'T MOVE!“"
bark_guard_alert_03,"„Centrálo, potřebuju posily v Sektoru A!“","„Dispatch, I need backup in Sector A!“"
